date,code,tv_rank,vol_rank,ret,drop_pct,close,high,gap_pct,hold_close_pct,is_52w_high,name
2026-03-24,402340,9,351,6.8222621184919285,0.5016722408026756,595000,598000,3.1932773109243695,1.680672268907563,False,SK스퀘어
2026-03-24,450080,45,137,11.475409836065564,1.4492753623188406,68000,69000,0.5882352941176471,3.5294117647058822,False,에코프로머티
2026-03-25,000250,10,604,19.12393162393162,2.4496937882764653,1115000,1143000,3.1390134529147984,3.856502242152467,True,삼천당제약
2026-03-25,000720,36,266,5.336891260840559,2.470660901791229,157900,161900,0.06333122229259025,-3.4832172260924636,False,현대건설
2026-03-25,006800,12,53,10.14729950900164,2.1802325581395348,67300,68800,3.566121842496285,-2.9717682020802374,False,미래에셋증권
2026-03-25,010170,11,5,11.151515151515156,3.4736842105263155,9170,9500,0.21810250817884408,1.4176663031624863,True,대한광통신
2026-03-25,011070,44,558,7.191780821917804,1.5723270440251573,313000,318000,-0.9584664536741214,-3.1948881789137378,False,LG이노텍
2026-03-25,050890,3,2,19.444444444444443,3.341433778857837,15910,16460,-3.268384663733501,-9.868007542426147,True,쏠리드
2026-03-25,064350,28,248,7.195053400786966,0.6253256904637832,190700,191900,1.2060828526481384,-0.47194546407970633,False,현대로템
2026-03-25,066970,13,119,16.24000000000001,1.8243243243243243,145300,148000,-0.7570543702684102,-0.5505849965588437,True,엘앤에프
2026-03-25,069540,45,3,15.267175572519086,7.786259541984733,3020,3275,3.9735099337748347,0.8278145695364238,True,빛과전자
2026-03-25,079550,7,356,14.50858034321374,1.476510067114094,734000,745000,2.7247956403269753,0.13623978201634876,False,LIG디펜스앤에어로스페이스
2026-03-25,138080,50,97,21.994134897360706,5.454545454545454,41600,44000,1.4423076923076923,-3.9663461538461537,True,오이솔루션
2026-03-25,263750,9,38,23.341523341523352,4.015296367112811,50200,52300,9.362549800796813,1.1952191235059761,False,펄어비스
2026-03-25,267260,39,1049,7.243243243243236,0.5015045135406219,992000,997000,-0.10080645161290322,-2.721774193548387,False,HD현대일렉트릭
2026-03-25,272210,24,168,7.305577376276506,0.0,136600,136600,0.07320644216691069,-5.051244509516837,False,한화시스템
2026-03-25,298040,21,1402,10.699740836727134,1.1570247933884297,2990000,3025000,0.26755852842809363,-4.3478260869565215,True,효성중공업
2026-03-25,353200,26,117,14.175257731958757,1.5555555555555556,88600,90000,-2.595936794582393,-1.0158013544018059,True,대덕전자
2026-03-25,368770,23,33,7.962529274004693,3.7578288100208765,23050,23950,0.0,-8.676789587852495,True,파이버프로
2026-03-25,375500,17,62,14.925373134328357,6.351351351351352,69300,74000,0.0,-4.184704184704184,True,DL이앤씨
2026-03-25,475150,30,84,10.81081081081081,3.040540540540541,57400,59200,-2.4390243902439024,-6.2717770034843205,False,SK이터닉스
2026-03-25,489790,18,89,11.686746987951802,5.3115423901940755,92700,97900,-2.157497303128371,-10.140237324703344,True,한화비전
2026-03-26,024060,23,33,9.090909090909083,4.545454545454546,21000,22000,4.0476190476190474,-5.095238095238095,False,흥구석유
2026-03-26,038110,16,3,21.03004291845494,6.0,4230,4500,7.328605200945626,-3.4278959810874707,True,에코플라스틱
2026-03-26,100090,8,25,14.570858283433141,4.013377926421405,28700,29900,-5.7491289198606275,-6.445993031358885,False,SK오션플랜트
