date,time,name,setup,buy_score,dist_high,recent_5m,consec_bull,race,mfe,mae,cur_hold_s,cur_pnl,cur_reason,mat_hold_s,mat_pnl,mat_reason
05-20,14:29,삼성전기,breakout,6.5,-0.36429872495446264,1.4842300556586272,3,down,1.0054844606946984,-4.113345521023766,3.994115,0.04570383912248629,E3_vol_drain,98.012009,-0.5484460694698354,trailing
05-20,14:39,삼성전기,pullback,6.5,-2.0814479638009047,-0.8703618873110398,1,down,0.8317929759704251,-3.0499075785582255,260.004883,-2.0,stop_-2%,260.004883,-2.0,stop_-2%
05-20,14:58,삼성전기,pullback,5.5,-3.076923076923077,0.18709073900841908,3,neither,0.0,-1.3071895424836601,121.973771,-0.2801120448179272,E2_bearish_div,1799.974247,-0.3734827264239029,eow
05-20,15:08,삼성전기,pullback,5.5,-3.4389140271493215,0.09380863039399624,1,neither,0.18744142455482662,-0.5623242736644799,491.962104,-0.18744142455482662,E3_vol_drain,1799.977336,-0.5623242736644799,eow
05-20,15:18,삼성전기,pullback,5.5,-3.4389140271493215,0.0,2,neither,0.0,-0.5623242736644799,93.997516,0.0,E2_bearish_div,1799.997611,-0.5623242736644799,eow
05-20,09:37,대한광통신,chase,5.0,0.0,6.220095693779904,4,down,5.18018018018018,-2.4774774774774775,6.006489,0.22522522522522523,E1_vp<100,36.012655,0.22522522522522523,trailing
05-20,10:25,대한광통신,pullback,6.5,-1.7130620985010707,1.5486725663716814,4,up,8.932461873638346,-0.2178649237472767,23.978909,0.2178649237472767,E3_vol_drain,89.971643,1.7429193899782136,target_prevhigh
05-20,10:36,대한광통신,pullback,5.5,-3.8,-1.2320328542094456,3,up,2.494802494802495,-3.3264033264033266,3.977683,0.2079002079002079,E3_vol_drain,3.977683,0.2079002079002079,ma5_break
05-20,11:48,대한광통신,none,5.0,-7.199999999999999,3.111111111111111,4,down,1.0775862068965518,-3.2327586206896552,4.000888,0.21551724137931033,E1_vp<100,136.03212,-0.43103448275862066,trailing
05-20,12:24,대한광통신,none,5.0,-8.4,1.7777777777777777,4,neither,0.21834061135371177,-1.5283842794759825,4.051646,0.0,E1_vp<100,1796.002748,0.21834061135371177,eow
05-20,12:52,대한광통신,none,5.0,-8.799999999999999,0.21978021978021978,2,neither,1.9736842105263157,0.0,6.098907,0.21929824561403508,E1_vp<100,460.013287,0.43859649122807015,trailing
05-20,13:28,대한광통신,none,5.0,-7.199999999999999,1.0893246187363834,4,neither,0.8620689655172413,-1.7241379310344827,4.039732,0.21551724137931033,E1_vp<100,1799.999034,-1.293103448275862,eow
05-20,14:34,대한광통신,none,5.0,-8.200000000000001,1.1013215859030838,2,neither,0.2178649237472767,-1.0893246187363834,6.063136,0.0,E1_vp<100,1796.01494,0.0,eow
05-20,15:02,대한광통신,none,5.0,-8.0,0.43668122270742354,4,neither,0.21739130434782608,-0.8695652173913043,4.010094,0.0,E1_vp<100,1796.012286,-0.43478260869565216,eow
05-20,15:14,대한광통신,none,6.0,-8.200000000000001,0.6578947368421052,2,neither,0.4357298474945534,-0.2178649237472767,4.000654,0.0,E1_vp<100,1797.95993,-0.2178649237472767,eow
05-20,09:03,진원생명과학,none,5.0,-2.4691358024691357,,0,up,13.391072618254496,0.5329780146568954,5.913231,0.5329780146568954,E1_vp<100,69.925483,8.394403730846102,trailing
05-20,11:25,진원생명과학,none,5.5,-7.1680376028202115,4.983388704318937,4,down,1.89873417721519,-4.367088607594936,4.00775,-0.18987341772151897,E1_vp<100,76.040728,-2.0,stop_-2%
05-20,11:37,진원생명과학,none,5.0,-6.110458284371328,4.1042345276872965,4,down,0.7509386733416771,-3.629536921151439,4.03334,-0.688360450563204,E1_vp<100,111.98549,-2.0,stop_-2%
05-20,12:18,진원생명과학,pullback,5.0,-4.81786133960047,1.5037593984962405,4,down,1.6666666666666667,-4.2592592592592595,3.956326,0.1851851851851852,E1_vp<100,157.970725,0.06172839506172839,trailing
05-20,13:09,진원생명과학,pullback,5.0,-5.875440658049354,2.364217252396166,4,up,2.309612983770287,-1.6853932584269662,6.018679,0.0,E1_vp<100,1677.966558,-0.062421972534332085,trailing
05-20,13:34,진원생명과학,pullback,5.0,-5.229142185663925,1.8308080808080809,3,neither,1.611903285802852,-1.4259144451332921,3.978795,0.3099814011159331,E1_vp<100,203.978655,-0.7439553626782394,trailing
05-20,14:39,진원생명과학,pullback,5.0,-5.405405405405405,1.385390428211587,5,up,7.888198757763975,-0.5590062111801243,4.008763,0.062111801242236024,E1_vp<100,150.03003,-0.37267080745341613,trailing
